team,position,games,wins,draws,losses,goals_for,goals_against,points,xg,xga,champion,relegated,season,goal_diff,ppg,xg_diff
Manchester City,1,38,27,5,6,83,32,86,78.5,35.2,1,0,2020-21,51,2.263157894736842,43.3
Manchester Utd,2,38,21,11,6,73,44,74,68.2,45.5,0,0,2020-21,29,1.9473684210526316,22.700000000000003
Liverpool,3,38,20,9,9,68,42,69,65.5,45.8,0,0,2020-21,26,1.8157894736842106,19.700000000000003
Chelsea,4,38,19,10,9,58,36,67,58.2,40.2,0,0,2020-21,22,1.763157894736842,18.0
Leicester,5,38,20,6,12,68,50,66,62.5,52.5,0,0,2020-21,18,1.736842105263158,10.0
West Ham,6,38,19,8,11,62,47,65,58.8,50.5,0,0,2020-21,15,1.7105263157894737,8.299999999999997
Tottenham,7,38,18,8,12,68,45,62,65.2,48.2,0,0,2020-21,23,1.631578947368421,17.0
Arsenal,8,38,18,7,13,55,39,61,52.8,42.5,0,0,2020-21,16,1.605263157894737,10.299999999999997
Leeds,9,38,18,5,15,62,54,59,58.5,55.8,0,0,2020-21,8,1.5526315789473684,2.700000000000003
Everton,10,38,17,8,13,47,48,59,48.2,50.2,0,0,2020-21,-1,1.5526315789473684,-2.0
Aston Villa,11,38,16,7,15,55,46,55,52.5,48.5,0,0,2020-21,9,1.4473684210526316,4.0
Newcastle,12,38,12,9,17,46,62,45,42.8,58.2,0,0,2020-21,-16,1.1842105263157894,-15.400000000000006
Wolves,13,38,12,9,17,36,52,45,38.5,50.5,0,0,2020-21,-16,1.1842105263157894,-12.0
Crystal Palace,14,38,12,8,18,41,66,44,42.2,60.2,0,0,2020-21,-25,1.1578947368421053,-18.0
Southampton,15,38,12,7,19,47,68,43,48.5,62.5,0,0,2020-21,-21,1.131578947368421,-14.0
Brighton,16,38,9,14,15,40,46,41,42.5,48.8,0,0,2020-21,-6,1.0789473684210527,-6.299999999999997
Burnley,17,38,10,9,19,33,55,39,35.8,52.5,0,0,2020-21,-22,1.0263157894736843,-16.700000000000003
Fulham,18,38,5,13,20,27,53,28,32.5,55.2,0,1,2020-21,-26,0.7368421052631579,-22.700000000000003
West Brom,19,38,5,11,22,35,76,26,38.2,70.5,0,1,2020-21,-41,0.6842105263157895,-32.3
Sheffield Utd,20,38,7,2,29,20,63,23,25.5,62.8,0,1,2020-21,-43,0.6052631578947368,-37.3
