team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Arsenal,24,17.0,265,153,111,106,48,114,205,55.6,91,152,42,110,116,381,406,7
Aston Villa,23,17.0,275,166,127,121,27,138,262,52.7,124,178,68,110,100,375,397,16
Bournemouth,24,17.0,297,172,136,113,48,157,280,56.1,123,194,53,141,149,446,526,8
Brentford,21,17.0,272,161,109,119,44,125,232,53.9,107,196,70,126,149,421,541,10
Brighton,25,17.0,319,196,131,128,60,160,333,48.0,173,174,46,128,130,449,398,10
Burnley,24,17.0,283,162,133,117,33,123,237,51.9,114,211,67,144,170,453,551,15
Chelsea,25,17.0,263,161,120,103,40,131,222,59.0,91,146,40,106,172,435,388,13
Crystal Palace,23,17.0,337,214,174,126,37,148,275,53.8,127,183,47,136,156,493,603,11
Everton,19,17.0,290,171,142,104,44,143,258,55.4,115,213,77,136,133,423,503,19
Fulham,23,17.0,297,171,162,101,34,145,239,60.7,94,167,59,108,134,431,492,13
Leeds United,23,17.0,308,191,132,129,47,154,279,55.2,125,173,49,124,149,457,471,6
Liverpool,23,17.0,226,146,104,85,37,115,217,53.0,102,180,56,124,109,335,497,14
Manchester City,24,17.0,226,135,97,87,42,107,192,55.7,85,147,47,100,130,356,429,17
Manchester Utd,23,17.0,308,179,125,132,51,142,268,53.0,126,167,47,120,127,435,442,12
Newcastle Utd,24,17.0,229,154,98,109,22,108,239,45.2,131,173,52,121,124,353,483,11
Nott'ham Forest,27,17.0,292,171,137,92,63,152,287,53.0,135,197,69,128,133,425,413,19
Sunderland,25,17.0,287,159,156,99,32,163,271,60.1,108,176,74,102,137,424,567,16
Tottenham,21,17.0,337,205,152,144,41,151,263,57.4,112,178,42,136,121,458,467,21
West Ham,27,17.0,253,151,130,95,28,119,225,52.9,106,189,76,113,145,398,548,11
Wolves,25,17.0,338,188,168,115,55,172,305,56.4,133,197,71,126,151,489,534,18
