team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Arsenal,24,17.0,7760,9345,83.0,134476,41201,3442,3815,90.2,3644,4084,89.2,550,1077,51.1,21,18.2,19.1,2.8,169,636,169,25,767
Aston Villa,23,17.0,6559,8002,82.0,114117,39725,2945,3246,90.7,2872,3250,88.4,566,1092,51.8,20,14.6,13.0,5.4,150,496,130,25,595
Bournemouth,24,17.0,6329,8136,77.8,110736,38349,2840,3219,88.2,2758,3213,85.8,577,1253,46.0,14,14.5,14.1,-0.5,156,592,152,43,670
Brentford,21,17.0,5281,6995,75.5,97448,36734,2214,2586,85.6,2335,2791,83.7,605,1282,47.2,11,13.8,12.4,-2.8,113,381,112,31,473
Brighton,25,17.0,6929,8451,82.0,120694,41157,3164,3510,90.1,3016,3415,88.3,591,1097,53.9,15,18.6,14.6,-3.6,167,544,127,45,632
Burnley,24,17.0,5175,6883,75.2,90424,33963,2502,2829,88.4,2029,2446,83.0,490,1172,41.8,13,10.3,9.5,2.7,101,401,94,28,422
Chelsea,25,17.0,8006,9514,84.1,137374,43957,3723,4046,92.0,3604,3990,90.3,558,1128,49.5,22,22.6,19.3,-0.6,181,602,136,24,679
Crystal Palace,23,17.0,5153,6868,75.0,93301,35840,2218,2583,85.9,2303,2716,84.8,530,1198,44.2,11,17.4,16.0,-6.4,126,386,111,28,524
Everton,19,17.0,5440,7138,76.2,100089,36361,2335,2673,87.4,2444,2910,84.0,572,1205,47.5,14,15.0,14.2,-1.0,132,458,124,35,556
Fulham,23,17.0,6927,8563,80.9,122488,41277,2998,3348,89.5,3163,3578,88.4,631,1204,52.4,14,13.8,14.0,0.2,146,496,136,34,625
Leeds United,23,17.0,5972,7625,78.3,106842,37449,2539,2879,88.2,2697,3111,86.7,559,1194,46.8,9,13.8,12.0,-4.8,142,438,104,41,516
Liverpool,23,17.0,8272,9914,83.4,140783,46908,3926,4313,91.0,3551,3991,89.0,627,1181,53.1,18,20.6,16.9,-2.6,203,768,178,36,874
Manchester City,24,17.0,8831,10211,86.5,136730,41500,4766,5135,92.8,3299,3673,89.8,503,894,56.3,31,27.0,22.9,4.0,186,636,161,28,703
Manchester Utd,23,17.0,6786,8563,79.2,117093,42157,3190,3608,88.4,2769,3260,84.9,625,1212,51.6,20,20.3,19.1,-0.3,207,558,160,44,715
Newcastle Utd,24,17.0,6635,8306,79.9,117194,42085,2975,3357,88.6,2913,3370,86.4,612,1222,50.1,13,16.9,15.2,-3.9,156,576,149,43,759
Nott'ham Forest,27,17.0,6670,8350,79.9,116208,41058,3117,3457,90.2,2875,3315,86.7,566,1224,46.2,10,15.1,13.5,-5.1,154,594,151,48,708
Sunderland,25,17.0,5220,6888,75.8,94901,34428,2224,2548,87.3,2314,2728,84.8,543,1212,44.8,12,9.3,9.0,2.7,113,429,103,27,496
Tottenham,21,17.0,6333,7982,79.3,114538,38627,2641,2951,89.5,3015,3433,87.8,567,1222,46.4,20,12.3,11.3,7.7,120,506,110,44,581
West Ham,27,17.0,5391,6959,77.5,92205,33499,2603,2909,89.5,2109,2460,85.7,504,1151,43.8,10,10.3,9.2,-0.3,122,391,90,24,480
Wolves,25,17.0,5710,7368,77.5,107530,38751,2344,2731,85.8,2610,3041,85.8,638,1273,50.1,6,9.3,10.1,-3.3,104,474,127,63,488
