team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Arsenal,24,59.4,17.0,11216,974,2977,5183,3148,534,11213,299,127,42.5,139,46.5,6442,35181,18536,358,261,95,260,134,7652,756
Aston Villa,23,52.1,17.0,9859,1372,3487,4198,2261,367,9859,312,118,37.8,153,49.0,5822,29497,15020,246,171,61,228,198,6439,587
Bournemouth,24,52.5,17.0,10276,1057,3183,4455,2757,434,10272,322,131,40.7,151,46.9,5727,31548,17467,326,255,88,281,144,6270,663
Brentford,21,44.9,17.0,9085,1205,3375,3919,1886,364,9078,298,108,36.2,161,54.0,4313,22383,10918,197,137,60,267,140,5216,466
Brighton,25,51.8,17.0,10495,1199,3578,4501,2527,436,10492,340,147,43.2,159,46.8,6346,33839,18611,351,222,97,289,174,6832,626
Burnley,24,41.0,17.0,8913,1227,3213,3898,1876,276,8911,196,61,31.1,110,56.1,4581,19853,9915,163,124,45,235,140,5146,417
Chelsea,25,58.1,17.0,11419,1114,3512,5423,2598,418,11418,343,135,39.4,158,46.1,7073,33883,18071,353,204,106,271,150,7933,669
Crystal Palace,23,42.5,17.0,8996,1179,3438,3787,1863,388,8992,189,69,36.5,93,49.2,4575,21843,11369,221,157,51,248,144,5122,520
Everton,19,43.7,17.0,9189,1048,3021,3740,2525,391,9188,293,101,34.5,152,51.9,4912,24838,12159,245,202,74,284,148,5393,545
Fulham,23,50.8,17.0,10521,1330,3902,4470,2224,384,10520,254,107,42.1,120,47.2,6001,31473,16340,305,210,76,259,133,6872,616
Leeds United,23,46.4,17.0,9662,1100,3310,4390,2072,359,9659,288,103,35.8,149,51.7,5086,26419,13924,245,176,68,262,149,5920,509
Liverpool,23,60.6,17.0,11892,1075,3335,5352,3290,508,11891,300,132,44.0,141,47.0,7315,34753,19034,384,265,114,270,130,8204,870
Manchester City,24,57.8,17.0,12140,1039,3355,5598,3280,512,12138,404,177,43.8,174,43.1,7712,40285,21631,452,348,146,246,166,8769,694
Manchester Utd,23,54.2,17.0,10648,1065,3089,4840,2813,484,10644,269,107,39.8,136,50.6,5696,28388,15184,330,229,102,288,143,6724,711
Newcastle Utd,24,51.1,17.0,10235,1033,3147,4574,2608,387,10231,269,110,40.9,122,45.4,5955,28009,13867,277,175,70,241,140,6592,752
Nott'ham Forest,27,50.8,17.0,10330,1063,3324,4431,2686,368,10329,282,119,42.2,139,49.3,5710,28862,14732,293,236,66,285,135,6620,698
Sunderland,25,42.4,17.0,8792,1183,3237,3735,1904,290,8790,209,89,42.6,102,48.8,4861,24946,12885,220,168,46,218,114,5152,491
Tottenham,21,51.9,17.0,10062,1169,3525,4227,2434,361,10062,358,153,42.7,169,47.2,5405,29442,14563,297,201,65,303,172,6259,576
West Ham,27,42.2,17.0,9018,1221,3229,3956,1919,282,9017,286,118,41.3,136,47.6,4439,23708,11369,199,155,62,250,139,5345,472
Wolves,25,45.7,17.0,9436,1210,3256,4254,2023,333,9434,246,110,44.7,103,41.9,4890,24818,12380,225,178,35,285,142,5661,484
