team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Arsenal,24,26.4,59.4,17,187,,17.0,29,21,50,26,3,3,22,0,28.5,26.1,18.2,44.3,358,767,1.71,1.24,2.94,1.53,2.76,1.68,1.07,2.75,1.54,2.61
Aston Villa,23,28.4,52.1,17,187,,17.0,26,20,46,26,0,0,25,1,17.9,17.9,14.6,32.5,246,595,1.53,1.18,2.71,1.53,2.71,1.06,0.86,1.91,1.06,1.91
Bournemouth,24,25.8,52.5,17,187,,17.0,26,14,40,24,2,3,42,1,24.1,21.8,14.5,36.2,326,670,1.53,0.82,2.35,1.41,2.24,1.42,0.85,2.27,1.28,2.13
Brentford,21,25.6,44.9,17,187,,17.0,24,11,35,19,5,7,34,0,23.7,18.2,13.8,32.0,197,473,1.41,0.65,2.06,1.12,1.76,1.39,0.81,2.2,1.07,1.88
Brighton,25,25.8,51.8,17,187,,17.0,24,15,39,22,2,3,41,0,26.5,24.2,18.6,42.8,351,632,1.41,0.88,2.29,1.29,2.18,1.56,1.09,2.65,1.43,2.52
Burnley,24,27.7,41.0,17,187,,17.0,19,13,32,17,2,2,26,2,14.8,13.3,10.3,23.6,163,422,1.12,0.76,1.88,1.0,1.76,0.87,0.6,1.48,0.78,1.39
Chelsea,25,24.7,58.1,17,187,,17.0,29,22,51,28,1,1,37,4,28.1,27.3,22.6,50.0,353,679,1.71,1.29,3.0,1.65,2.94,1.65,1.33,2.99,1.61,2.94
Crystal Palace,23,26.9,42.5,17,187,,17.0,20,11,31,16,4,4,30,0,27.7,24.7,17.4,42.1,221,524,1.18,0.65,1.82,0.94,1.59,1.63,1.03,2.66,1.45,2.48
Everton,19,28.3,43.7,17,187,,17.0,17,14,31,16,1,1,35,1,19.7,19.0,15.0,34.0,245,556,1.0,0.82,1.82,0.94,1.76,1.16,0.88,2.04,1.11,2.0
Fulham,23,28.5,50.8,17,187,,17.0,21,14,35,20,1,1,33,0,18.4,17.6,13.8,31.4,305,625,1.24,0.82,2.06,1.18,2.0,1.08,0.81,1.89,1.04,1.85
Leeds United,23,27.0,46.4,17,187,,17.0,24,9,33,22,2,3,27,0,23.9,21.4,13.8,35.2,245,516,1.41,0.53,1.94,1.29,1.82,1.41,0.81,2.22,1.26,2.07
Liverpool,23,27.0,60.6,17,187,,17.0,27,18,45,26,1,1,33,0,26.6,25.9,20.6,46.5,384,874,1.59,1.06,2.65,1.53,2.59,1.56,1.21,2.78,1.52,2.74
Manchester City,24,25.7,57.8,17,187,,17.0,38,31,69,37,1,2,28,0,32.4,30.9,27.0,57.9,452,703,2.24,1.82,4.06,2.18,4.0,1.91,1.59,3.5,1.82,3.41
Manchester Utd,23,26.4,54.2,17,187,,17.0,29,20,49,27,2,4,26,1,31.5,28.5,20.3,48.8,330,715,1.71,1.18,2.88,1.59,2.76,1.85,1.19,3.05,1.68,2.87
Newcastle Utd,24,27.5,51.1,17,187,,17.0,23,13,36,20,3,3,24,2,23.2,20.8,16.9,37.7,277,759,1.35,0.76,2.12,1.18,1.94,1.36,0.99,2.36,1.22,2.22
Nott'ham Forest,27,26.3,50.8,17,187,,17.0,17,10,27,16,1,1,30,0,20.2,19.4,15.2,34.6,292,708,1.0,0.59,1.59,0.94,1.53,1.19,0.89,2.08,1.14,2.03
Sunderland,25,25.9,42.4,17,187,,17.0,17,12,29,15,2,2,35,2,14.7,13.1,9.3,22.4,220,496,1.0,0.71,1.71,0.88,1.59,0.87,0.55,1.41,0.77,1.32
Tottenham,21,25.9,51.9,17,187,,17.0,25,20,45,25,0,0,46,2,16.2,16.2,12.3,28.5,297,581,1.47,1.18,2.65,1.47,2.65,0.95,0.72,1.68,0.95,1.68
West Ham,27,27.1,42.2,17,187,,17.0,18,10,28,17,1,1,28,2,17.4,16.6,10.3,27.0,199,480,1.06,0.59,1.65,1.0,1.59,1.03,0.61,1.63,0.98,1.59
Wolves,25,26.8,45.7,17,187,,17.0,8,6,14,7,1,2,37,2,14.9,13.3,9.3,22.6,225,488,0.47,0.35,0.82,0.41,0.76,0.87,0.55,1.42,0.78,1.33
