rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,last_5,attendance_per_g,top_team_scorers,top_keeper,notes
1,Arsenal,17,12,3,2,31,10,21,39,2.29,28.5,9.8,18.7,+1.10,D,"60,177",Viktor Gyökeres,David Raya,
2,Manchester City,17,12,1,4,41,16,25,37,2.18,32.4,18.8,13.7,+0.80,W,"52,382",Erling Haaland,Gianluigi Donnarumma,
3,Aston Villa,17,11,3,3,27,18,9,36,2.12,17.9,22.7,-4.8,-0.28,W,"41,687",Morgan Rogers,Emiliano Martínez,
4,Chelsea,17,8,5,4,29,17,12,29,1.71,28.1,22.0,6.1,+0.36,D,"39,611",Pedro Neto,Robert Sánchez,
5,Liverpool,17,9,2,6,28,25,3,29,1.71,26.6,20.7,5.9,+0.35,W,"60,356",Hugo Ekitike,Alisson,
6,Sunderland,17,7,6,4,19,17,2,27,1.59,14.7,22.2,-7.4,-0.44,W,"45,968",Wilson Isidor,Robin Roefs,
7,Manchester Utd,17,7,5,5,31,28,3,26,1.53,31.5,23.0,8.5,+0.50,W,"74,004",Bryan Mbeumo,Senne Lammens,
8,Crystal Palace,17,7,5,5,21,19,2,26,1.53,27.7,21.1,6.6,+0.39,L,"25,005",Jean-Philippe Mateta,Dean Henderson,
9,Brighton,17,6,6,5,25,23,2,24,1.41,26.5,22.5,4.0,+0.23,W,"31,445",Danny Welbeck,Bart Verbruggen,
10,Everton,17,7,3,7,18,20,-2,24,1.41,19.7,23.9,-4.1,-0.24,L,"52,145",Kiernan Dewsbury-Hall,Jordan Pickford,
11,Newcastle Utd,17,6,5,6,23,22,1,23,1.35,23.2,18.3,4.8,+0.28,W,"52,152",Nick Woltemade,Nick Pope,
12,Brentford,17,7,2,8,24,25,-1,23,1.35,23.7,22.2,1.5,+0.09,W,"17,076",Thiago,Caoimhín Kelleher,
13,Fulham,17,7,2,8,24,26,-2,23,1.35,18.4,22.4,-4.0,-0.24,W,"27,081",Harry Wilson,Bernd Leno,
14,Tottenham,17,6,4,7,26,23,3,22,1.29,16.2,22.6,-6.5,-0.38,L,"61,001",Richarlison,Guglielmo Vicario,
15,Bournemouth,17,5,7,5,26,29,-3,22,1.29,24.1,23.2,1.0,+0.06,L,"11,133",Antoine Semenyo,Đorđe Petrović,
16,Leeds United,17,5,4,8,24,31,-7,19,1.12,23.9,23.8,0.1,+0.01,L,"36,708",Dominic Calvert-Lewin,Lucas Perri,
17,Nott'ham Forest,17,5,3,9,17,26,-9,18,1.06,20.1,24.2,-4.1,-0.24,L,"30,434",Morgan Gibbs-White,Matz Sels,
18,West Ham,17,3,4,10,19,35,-16,13,0.76,17.4,27.9,-10.5,-0.62,L,"62,454",Jarrod Bowen,Alphonse Areola,
19,Burnley,17,3,2,12,19,34,-15,11,0.65,14.8,33.9,-19.1,-1.12,L,"21,028",Zian Flemming,Martin Dúbravka,
20,Wolves,17,0,2,15,9,37,-28,2,0.12,14.9,25.3,-10.5,-0.61,L,"29,753",Hwang Hee-chan,Sam Johnstone,
